#
#  ecol316435-wgscyc 21.5 Reactions link table generated on Tue Oct 24, 2017
#
RXN0-2161	EC-6.1.1.11
GLYCPDIESTER-RXN	EC-3.1.4.46
RIBOFLAVIN-SYN-RXN	EC-2.5.1.9
CELLULOSE-SYNTHASE-GDP-FORMING-RXN	EC-2.4.1.29
RXN66-477	EC-6.2.1.3
RXN-10773	EC-3.2.1.21
HISTALDEHYD-RXN	
RXN-12611	EC-2.5.1.3
2.3.1.168-RXN	EC-2.3.1.168
RXN0-5021	EC-2.7.7
GLYCOGENSYN-RXN	EC-2.4.1.21
1.11.1.15-RXN	EC-1.11.1.15
GTP-CYCLOHYDRO-II-RXN	EC-3.5.4.25
XYLISOM-RXN	EC-5.3.1.5
RXN0-6973	EC-1.14.14.5
GDPREDUCT-RXN	EC-1.17.4.1
LIPIDADISACCHARIDESYNTH-RXN	EC-2.4.1.182
DHHB-METHYLTRANSFER-RXN	EC-2.1.1.64
RXN-12253	EC-3.1.1.1
GDPPYPHOSKIN-RXN	EC-2.7.6.5
OHACYL-COA-DEHYDROG-RXN	EC-1.1.1.35
TRYPTOPHAN--TRNA-LIGASE-RXN	EC-6.1.1.2
3.6.3.2-RXN	EC-3.6.3.2
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2
GSPSYN-RXN	EC-6.3.1.8
RXN-12448	EC-1.1.1.1
NANE-RXN	EC-5.1.3.9
ALKAPHOSPHA-RXN	EC-3.1.3.1
GLUCOSE-1-PHOSPHAT-RXN	EC-3.1.3.10
TRNA-NUCLEOTIDYLTRANSFERASE-RXN	EC-2.7.7.56
RXN0-299	EC-1.14.11.17
GTPPYPHOSKIN-RXN	EC-2.7.6.5
RXN-11811	
R303-RXN	EC-1
RXN0-20	
RXN-13671	EC-1.2.1.10
RXN0-2461	
O-SUCCINYLBENZOATE-COA-SYN-RXN	EC-4.2.1.113
RXN-9003	EC-2.5.1.39
PPGPPSYN-RXN	EC-3.1.7.2
RXN-11301	EC-2.4.1
SUCROSE-PHOSPHATE-SYNTHASE-RXN	EC-2.4.1.14
RXN-12561	EC-2.3.1.9
RXN-12587	
ASPARTASE-RXN	EC-4.3.1.1
RXN-8730	EC-3.1.3.56
RXN1G-469	EC-1.1.1.100
CARBPSYN-RXN	EC-6.3.5.5
GLYOHMETRANS-RXN	EC-2.1.2.1
RXN1G-384	EC-1.1.1.100
RXN-12709	EC-1.1.1.35
RXN-22	EC-4.3.2.1
3.1.6.4-RXN	EC-3.1.6.4
RXN-11209	EC-1.3.1.2
RXN-12867	
RXN-9658	EC-1.3.1.9
H2NEOPTERINALDOL-RXN	EC-4.1.2.25
LACTALDDEHYDROG-RXN	EC-1.2.1.22
RXN66-483	EC-6.2.1.3
RXN0-5264	EC-1.7.2.3
RXN0-6479	EC-3.1.13.1
RXN1G-460	EC-2.3.1.41
NMNNUCLEOSID-RXN	EC-3.2.2.14
O-SUCCINYLBENZOATE-COA-LIG-RXN	EC-6.2.1.26
RXN0-5124	EC-2.4.1.44
1.2.3.13-RXN	EC-1.2.3.13
QUINOPRIBOTRANS-RXN	EC-2.4.2.19
1.1.1.271-RXN	EC-1.1.1.271
RXN1G-287	EC-1.1.1.100
RXN-9217	EC-2.5.1.74
RXN-13114	
3-DEHYDROQUINATE-SYNTHASE-RXN	EC-4.2.3.4
5.99.1.2-RXN	EC-5.99.1.2
RXN66-478	EC-1.1.1.1
RXN-11028	EC-2.7.8
RXN0-6484	EC-3.1.13.5
3.1.2.21-RXN	EC-3.1.2.21
RXN0-5062	EC-6.5.1
KDO-8PSYNTH-RXN	EC-2.5.1.55
RXN66-469	EC-6.2.1.3
RXN-9632	EC-2.3.1.41
RXN1G-408	EC-1.1.1.100
N-ACYLMANNOSAMINE-KINASE-RXN	EC-2.7.1.60
RXN-12294	EC-3.2.1
RXN-11588	EC-2.1.1.185
RXN-8770	EC-3.1.3.73
CITTRANS-RXN	EC-2.8.3.10
RXN-15544	
RXN-8899	
RXN1G-613	EC-1.1.1.100
RXN-12715	
ALLOSE-KINASE-RXN	EC-2.7.1.55
RXN0-882	EC-1.17.7.1
PYRIMSYN1-RXN	EC-4.1.99.17
RXN-9360	EC-2.5.1.74
UDPNACETYLMURAMATEDEHYDROG-RXN	EC-1.3.1.98
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2
RXN-11758	EC-2.1.1.64
ACETYL-COA-ACETYLTRANSFER-RXN	EC-2.3.1.9
XANPRIBOSYLTRAN-RXN	EC-2.4.2.22
RXN-7253	
RXN0-2382	EC-4.2.1.122
RXN-8748	EC-3.1.3.1
3.1.21.2-RXN	EC-3.1.21.2
THI-P-KIN-RXN	EC-2.7.4.16
RXN-13720	EC-5.3.1.9
RXN-10660	EC-4.2.1.59
RXN0-5127	EC-2.4
RXN0-5224	EC-4.2.1.1
RXN0-5244	
RXN-8315	
RIBONUCLEOSIDE-DIP-REDUCTI-RXN	EC-1.17.4.1
N-ACETYLGLUTPREDUCT-RXN	EC-1.2.1.38
RXN-7835	EC-1.3.1.34
AMP-DEPHOSPHORYLATION-RXN	EC-3.1.3.5
THYMIDYLATESYN-RXN	EC-2.1.1.45
RXN-15348	
RXN-13616	EC-4.2.1.17
GLUTATHIONE-SYN-RXN	EC-6.3.2.3
3.6.3.25-RXN	EC-3.6.3.25
ATPSYN-RXN	EC-3.6.3.14
RXN-15817	
PROTEIN-TYROSINE-PHOSPHATASE-RXN	EC-3.1.3.48
RXN0-4222	EC-3.1.13.1
MALATE--COA-LIGASE-RXN	EC-6.2.1.9
RXN0-5057	
RXN0-5144	EC-2.1.1.61
RXN0-5402	
3.1.1.73-RXN	EC-3.1.1.73
COBALADENOSYLTRANS-RXN	EC-2.5.1.17
RXN-7614	EC-6.2.1.26
3.1.3.16-RXN	EC-3.1.3.16
MERCURY-II-REDUCTASE-RXN	EC-1.16.1.1
2.7.7.13-RXN	EC-2.7.7.13
GLYC3PDEHYDROG-RXN	EC-1.1.5.3
R4-RXN	EC-1.8.1
RXN-14193	EC-1.3.8.1
RXN-12130	EC-1.7.2.4
SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN	EC-2.6.1.45
RXN-12872	
PPPGPPHYDRO-RXN	EC-3.6.1.40
RXN1A0-6307	EC-3.1.2
MVHMETH-RXN	
FMNREDUCT-RXN	EC-1.5.1.39
RXN-10708	EC-3.1.2.20
2.5.1.19-RXN	EC-2.5.1.19
DEOXYCYTIDINE-KINASE-RXN	EC-2.7.1.74
3.4.17.13-RXN	EC-3.4.17.13
PHOSPHASERDECARB-RXN	EC-4.1.1.65
RXN-7716	EC-1.8.1.4
RXN0-5408	EC-3.1.3.25
GLYCOLATEDEHYDRO-RXN	EC-1.1.99.14
HOMOCYSMET-RXN	EC-2.1.1.14
RXN1G-184	EC-1.1.1.100
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN	EC-1.1.1.31
HISTCYCLOHYD-RXN	EC-3.5.4.19
DNA-LIGASE-NAD+-RXN	EC-6.5.1.2
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.24
GPH-RXN	EC-3.1.3.18
RXN-12691	EC-1.14.13.142
FADSYN-RXN	EC-2.7.7.2
RXN-11031	
ADENYLATECYC-RXN	EC-4.6.1.1
RXN-14179	EC-3.2.1.21
HOLOCYTOCHROME-C-SYNTHASE-RXN	EC-4.4.1.17
CYTOCHROME-C-OXIDASE-RXN	EC-1.9.3.1
CITLY-RXN	EC-4.1.3.6
RXN-9361	EC-2.1.1.163
RXN-9157	EC-2.3.2.2
ADENOSINETRIPHOSPHATASE-RXN	EC-3.6.1.15
RXN-15046	EC-1.1.1.101
2-METHYLACYL-COA-DEHYDROGENASE-RXN	EC-1.3.8.5
RXN0-5514	EC-2.3.1.51
2.4.1.129-RXN	EC-2.4.1.129
PECTINESTERASE-RXN	EC-3.1.1.11
PNPOXI-RXN	EC-1.4.3.5
4.1.1.83-RXN	EC-4.1.1.83
RXN-5282	
RXN-12193	EC-2.4.1.25
HISTAMINOTRANS-RXN	EC-2.6.1.9
SUCROSE-PHOSPHATASE-RXN	EC-3.1.3.24
HOMOCYSMETB12-RXN	EC-2.1.1.13
2.1.1.77-RXN	EC-2.1.1.77
METHIONINE--TRNA-LIGASE-RXN	EC-6.1.1.10
DIMETHUROPORDEHYDROG-RXN	EC-1.3.1.76
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	EC-2.3.1.51
RXN66-474	EC-6.2.1
GLUTATHIONE-REDUCT-NADPH-RXN	EC-1.8.1.7
H2PTEROATESYNTH-RXN	EC-2.5.1.15
DEOXYGUANPHOSPHOR-RXN	EC-2.4.2.1
RXN-11476	EC-1.1.1.100
RXN-11210	EC-3.5.1.6
RXN-9951	
RXN-13113	
UROGENDECARBOX-RXN	EC-4.1.1.37
RXN-14533	EC-5.4.99.59
5-AMINOLEVULINIC-ACID-SYNTHASE-RXN	EC-2.3.1.37
RXN-10814	EC-2.6.1.1
SULFUR-DIOXYGENASE-RXN	
CATAL-RXN	EC-1.11.1.21	EC-1.11.1.6
2-DEHYDROPANTOATE-REDUCT-RXN	EC-1.1.1.169
3-DEHYDRO-L-GULONATE-2-DEHYDROGENASE-RXN	EC-1.1.1.130
RXN-7001	EC-2.4.2.1
TRANS-RXN-213	
GLUCONOKIN-RXN	EC-2.7.1.12
RXN0-747	EC-1.17.4.1
RXN-1501	EC-3.1.1.4
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2
QUINATE-5-DEHYDROGENASE-RXN	EC-1.1.1.24
NITRATE-REDUCTASE-NADH-RXN	EC-1.7.1.1
RIBOFLAVINKIN-RXN	EC-2.7.1.26
2.7.7.1-RXN	EC-2.7.7.1
RXN-9204	EC-2.5.1.74
RXN0-5289	EC-1.1.1
RXN0-5055	EC-6.4.1.2
KDUD-RXN	EC-1.1.1.125
RXN-2901	EC-2.6.1.19
RXN-9553	EC-4.2.1
RXN0-5260	EC-1.1.5.3
RXN-13268	EC-6.2.1.20
RXN-9023	EC-2.4.1.25
RXN0-6510	EC-5.3.3.18
RXN-13198	EC-1.1.1.1
RXN0-5101	EC-1
ASPCARBTRANS-RXN	EC-2.1.3.2
RXN0-6377	EC-1.7.1.4
NAG1P-URIDYLTRANS-RXN	EC-2.7.7.23
RXN1G-488	EC-1.3.1.9
RXN-11474	EC-2.3.1.180
CHORPYRLY-RXN	EC-4.1.3.40
RXN-6423	
RXN1G-138	EC-2.3.1.41
RIBULOKIN-RXN	EC-2.7.1.16
RXN0-6522	EC-3.1.26.12
CYTIDEAM2-RXN	EC-3.5.4.5
1.1.1.262-RXN	
TRANS-RXN-157	
RXN-13456	
PEROXID-RXN	EC-1.11.1.7
TREHALA-RXN	EC-3.2.1.28
RXN-14112	EC-3.1.4.16
RXN1G-853	EC-1.1.1.100
CROBETREDUCT-RXN	EC-1.3.99
PEPCARBOX-RXN	EC-4.1.1.31
RXN1G-1247	EC-1.1.1.100
MCPMETEST-RXN	EC-3.1.1.61
L-ASPARTATE-OXID-RXN	EC-1.4.3.16
RXNQT-4366	EC-3.1.1.1
RXN0-743	EC-5.4.99.18
RXN-14175	EC-6.3.2.1
RXN1G-637	EC-1.1.1.100
RXN0-5297	EC-3.2.1.86
3.2.1.33-RXN	EC-3.2.1.33
PEPSYNTH-RXN	EC-2.7.9.2
RXN-7719	EC-1.8.1.4
1.14.13.59-RXN	EC-1.14.13.59
3.1.26.4-RXN	EC-3.1.26.4
PRAISOM-RXN	EC-5.3.1.24
SUCROSE-PHOSPHORYLASE-RXN	EC-2.4.1.7
ETHAMLY-RXN	EC-4.3.1.7
PEPTIDYLPROLYL-ISOMERASE-RXN	EC-5.2.1.8
RXN-12588	EC-2.8.1.7
SHIKIMATE-5-DEHYDROGENASE-RXN	EC-1.1.1.25
3.4.11.4-RXN	EC-3.4.11.4
BETA-PHOSPHOGLUCOMUTASE-RXN	EC-5.4.2.6
UNDECAPRENYL-DIPHOSPHATASE-RXN	EC-3.6.1.27
RXN-13603	EC-3.2.1.21
QUINOLINATE-SYNTHA-RXN	EC-2.5.1.72
RXN0-5258	EC-1.1.5.3
RXN-9650	EC-2.3.1.86
ARGSUCCINSYN-RXN	EC-6.3.4.5
ARABISOM-RXN	EC-5.3.1.4
RXN-8202	EC-2.8.1.3
RXN0-1132	EC-1.8.1.4
PYRNUTRANSHYDROGEN-RXN	EC-1.6.1.1
BIOTINLIG-RXN	EC-6.3.4.15
RXN-8675	
RXN-12440	EC-1.11.1.11
RXN-15838	EC-1.7.2.1
GALACTONDEHYDRAT-RXN	EC-4.2.1.6
RXN66-484	EC-6.2.1.3
PREPHENATEDEHYDRAT-RXN	EC-4.2.1.51
CHER-RXN	EC-2.1.1.80
RXN-11662	EC-1.1.1.35
3.5.1.88-RXN	EC-3.5.1.88
ASNSYNA-RXN	EC-6.3.1.1
RXN-14811	
3.1.4.14-RXN	EC-3.1.4.14
RXN0-5199	EC-2.4.2.15	EC-2.4.2.1
RXN1G-72	EC-1.1.1.100
RXN1G-517	EC-2.3.1
RXN-9929	EC-1.3.98.1
RXN0-5123	EC-2.7.1
RXN-7836	EC-5.3.3.8
RXN-14056	
FUMHYDR-RXN	EC-4.2.1.2
RXNMETA-12671	EC-3.7.1.16
PHOSPHOLIPASE-A1-RXN	EC-3.1.1.32
TREHALOSE6PSYN-RXN	EC-2.4.1.15
2.1.1.19-RXN	EC-2.1.1.19
RHAMNULPALDOL-RXN	EC-4.1.2.19
CTPSYN-RXN	EC-6.3.4.2
RNA-3-PHOSPHATE-CYCLASE-RXN	EC-6.5.1.4
RXN0-5261	
RXN-12583	
RXN-12171	EC-2.4.1.1
POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN	EC-2.7.7.19
LAUROYLACYLTRAN-RXN	EC-2.3.1
ORNCARBAMTRANSFER-RXN	EC-2.1.3.3
RXN0-5125	EC-2.4.1.73
RXN-12586	EC-1.20.2.1
RXN-9535	EC-2.3.1.86	EC-2.3.1.85	EC-2.3.1.41
1.1.1.251-RXN	EC-1.1.1.251
AIRCARBOXY-RXN	EC-4.1.1.21
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	EC-3.2.2.9
PNP-RXN	EC-2.4.2.1
OXALYL-COA-DECARBOXYLASE-RXN	EC-4.1.1.8
AMIDASE-RXN	EC-3.5.1.4
GLYOXI-RXN	EC-4.4.1.5
FORMATETHFLIG-RXN	EC-6.3.4.3
RXN0-301	EC-1.5.3.2
RXN-10781	EC-1.1.1.1
RXN-13890	EC-3.1.1.6
GLUTAMINE--TRNA-LIGASE-RXN	EC-6.1.1.18
RXN-7669	EC-2.4.1.18
1.1.1.211-RXN	EC-1.1.1.211
GART-RXN	EC-2.1.2.2
RXN-14026	EC-3.1.3.5
2.1.1.34-RXN	EC-2.1.1.34
SPERMIDINESYN-RXN	EC-2.5.1.16
AMYLOMALT-RXN	EC-2.4.1.25
UREIDOGLYCOLATE-HYDROLASE-RXN	EC-3.5.3.19
CITSYN-RXN	EC-2.3.3.1
RXN0-5254	
RXN-11030	
PREPHENATEDEHYDROG-RXN	EC-1.3.1.12
RXN-11484	EC-2.3.1.47
QOR-RXN	EC-1.6.5.5
RXN0-2621	EC-3.1.25
3.1.26.12-RXN	EC-3.1.26.12
RXN0-3461	EC-3.4
GLUTAMATE-DEHYDROGENASE-NADP+-RXN	EC-1.4.1.3
MALIC-NADP-RXN	EC-1.1.1.40
PHOSGLYPHOS-RXN	EC-2.7.2.3
FOLYLPOLYGLUTAMATESYNTH-RXN	EC-6.3.2.17
RXN-11362	EC-2.8.1.7
RXN0-5405	EC-2.4.1.129
GLUTRNAREDUCT-RXN	EC-1.2.1.70
2.7.13.3-RXN	EC-2.7.13.3
DLACTDEHYDROGNAD-RXN	EC-1.1.1.28
1.3.1.2-RXN	EC-1.3.1.2
RXN-9229	EC-2.1.1.64
DIHYDROFOLATEREDUCT-RXN	EC-1.5.1.3
GLYCOLALDREDUCT-RXN	EC-1.1.1.77
GPPSYN-RXN	EC-2.5.1.1
METBALT-RXN	EC-2.5.1.48
URUR-RXN	EC-3.5.3
DLACTDEHYDROGFAD-RXN	EC-1.1.5
RXN-10062	EC-1.3.1.9
O-SUCCHOMOSERLYASE-RXN	EC-2.5.1.48
L-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN	EC-1.1.2.3
LYSDECARBOX-RXN	EC-4.1.1.18
4.2.3.25-RXN	EC-4.2.3.25
SERINE--TRNA-LIGASE-RXN	EC-6.1.1.11
RXN-10655	EC-1.1.1.100
HEMN-RXN	EC-1.3.99.22
RXN-12575	EC-3.1.1.1
THIOREDOXIN-RXN	
GLYCEROL-KIN-RXN	EC-2.7.1.30
ACETATE--COA-LIGASE-RXN	EC-6.2.1.1
PROPIONATE--COA-LIGASE-RXN	EC-6.2.1.17
RXN-8635	EC-1.11.1.7
RXN-8631	EC-4.1.2.13
GLUCUROISOM-RXN	EC-5.3.1.12
IGPSYN-RXN	EC-4.1.1.48
GLUTAMATESYN-RXN	EC-1.4.1.13
PRTRANS-RXN	EC-2.4.2.18
RXN-14548	
ASNSYNB-RXN	EC-6.3.5.4
RXN-12729	EC-4.4.1.8
HYDROXYPYRUVATE-REDUCTASE-RXN	EC-1.1.1.81
3.1.22.4-RXN	EC-3.1.22.4
RXN0-5306	EC-5.1.3
RXN-8771	EC-1.14.99.40
ORNDECARBOX-RXN	EC-4.1.1.17
RXN0-6277	EC-1
5.3.3.14-RXN	EC-5.3.3.14
GSAAMINOTRANS-RXN	EC-5.4.3.8
RXN0-5293	EC-1.2.1.16
SULFITE-OXIDASE-RXN	EC-1.8.3.1
RXN0-6370	
AMINOBUTDEHYDROG-RXN	EC-1.2.1.19
3.2.1.21-RXN	EC-3.2.1.21
GLYOXII-RXN	EC-3.1.2.6
AGMATIN-RXN	EC-3.5.3.11
RXN-6601	EC-2.3.2.2
ADENYLYLSULFKIN-RXN	EC-2.7.1.25
4.2.1.61-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-1828	EC-2.4.1.25
PHOSNACMURPENTATRANS-RXN	EC-2.7.8.13
DSERDEAM-RXN	EC-4.3.1.18
RXN1G-617	EC-1.1.1.100
RXN-14050	EC-1.5.1.12
NITRATE-REDUCTASE-CYTOCHROME-RXN	EC-1.9.6.1
RXN0-1281	
TRIOSEPISOMERIZATION-RXN	EC-5.3.1.1
SUCCGLUDESUCC-RXN	EC-3.5.1.96
DEOXYADENPHOSPHOR-RXN	EC-2.4.2.1
KETOACYLCOATHIOL-RXN	EC-2.3.1.16
NADH-DEHYDROG-A-RXN	EC-1.6.5.3
LCARNCOALIG-RXN	EC-6.2.1
SUCCGLUALDDEHYD-RXN	EC-1.2.1.71
3.1.26.5-RXN	EC-3.1.26.5
DIENOYLCOAREDUCT-RXN	EC-1.3.1.34
UDPSUGARHYDRO-RXN	EC-3.6.1.45
DUTP-PYROP-RXN	EC-3.6.1.19	EC-3.6.1.23
RXN1G-363	EC-4.2.1
DIHYDROFOLATESYNTH-RXN	EC-6.3.2.12
2.5.1.39-RXN	EC-2.5.1.39
RXN1G-1435	EC-3.1.3.12
RXN-10700	EC-2.3.1.16
GLUTATHIONE-PEROXIDASE-RXN	EC-1.11.1.9
TAGAALDOL-RXN	EC-4.1.2.40
RXN-11236	EC-1.7.5.1
DIMESULFREDUCT-RXN	EC-1.8.5.3
RXN0-704	
RXN0-6952	EC-3.1.1.32
PGPPHOSPHA-RXN	EC-3.1.3.27
RXN-12197	EC-3.6.1.6
RXN0-6483	EC-3.1.13.5
CDPKIN-RXN	EC-2.7.4.6
RXN-13158	EC-1.1.1.85
1.5.1.20-RXN	EC-1.5.1.20
NITRATREDUCT-RXN	EC-1.7.99.4
RXN-8783	EC-3.1.1.17
KETOLACTOSE-RXN	EC-3.2.1.23
HOMSUCTRAN-RXN	EC-2.3.1.46
ACETATEKIN-RXN	EC-2.7.2.1
3.2.1.1-RXN	EC-3.2.1.1
RXN-3521	
FORMYLTHFGLUSYNTH-RXN	EC-6.3.2.17
RXN0-304	EC-5.1.3
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-7967	EC-1.1.1.282
RXN-11503	EC-2.7.1.4
RXN-15127	EC-3.5.99.10
ALLANTOATE-DEIMINASE-RXN	EC-3.5.3.9
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	EC-2.6.1.42
ASPARAGINE--TRNA-LIGASE-RXN	EC-6.1.1.22
HISTIDPHOS-RXN	EC-3.1.3.15
SUCROSEPHOSPHO-RXN	EC-2.7.1.69
RXN0-2001	EC-2.4.2.43
MANNPGUANYLTRANGDP-RXN	EC-2.7.7.22
RXN0-984	EC-1.14.11.33
GLUCOKIN-RXN	EC-2.7.1.2
RXN-11477	EC-4.2.1.59
ALPHAGALACTOSID-RXN	EC-3.2.1.22
RXN-12391	EC-2.4.1.25
RXN0-6478	EC-3.1.26.12
GDPKIN-RXN	EC-2.7.4.6
PHENYLPYRUVATE-TAUTOMERASE-RXN	EC-5.3.2.1
RXN-8655	EC-2.7.7.63
FESO3OXI-RXN	
1.6.1.2-RXN	EC-1.6.1.2
BETA-LACTAMASE-RXN	EC-3.5.2.6
RXN-9532	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
1.1.1.215-RXN	EC-1.1.1.215
RXN1G-840	EC-2.3.1.41
ALDOSE-1-EPIMERASE-RXN	EC-5.1.3.3
ACETOOHBUTSYN-RXN	EC-2.2.1.6
4.1.2.20-RXN	EC-4.1.2.20
RXN-11941	
GLUTDEHYD-RXN	EC-1.4.1.4
H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN	EC-3.6.1
RXN-12490	EC-1.1.1.35
2.6.1.57-RXN	EC-2.6.1.57
RXN-13455	
RXN-12541	
RIBOPHOSPHAT-RXN	
2-METHYLCITRATE-SYNTHASE-RXN	EC-2.3.3.5
RXN0-724	EC-1.17.4.2
RXN-15512	
RXN0-6373	EC-1.1.5.2
RXN-9644	EC-6.2.1.3
3.1.11.6-RXN	EC-3.1.11.6
RXN-14119	EC-1.3.99.1
METHYLMALONYL-COA-MUT-RXN	EC-5.4.99.2
SPONTPRO-RXN	
RXN0-363	EC-3.2.2.1
RXN-12752	EC-5.1.99.6
DIAMINOPIMEPIM-RXN	EC-5.1.1.7
2.7.1.121-RXN	EC-2.7.1.121
BETAGALACTOSID-RXN	EC-3.2.1.23
ADOMET-DMK-METHYLTRANSFER-RXN	EC-2.1.1.163
ASPAMINOTRANS-RXN	EC-2.6.1.1
RXN-982	EC-1.20.4.1
RXN-9366	EC-2.1.1.163
RXN-12736	EC-1.2.1
RXN-11046	EC-2.1.1.163
SUPEROX-DISMUT-RXN	EC-1.15.1.1
RXN-11065	EC-3.4.16.4
RXN-11047	EC-2.5.1.74
PANTOATE-BETA-ALANINE-LIG-RXN	EC-6.3.2.1
RXN0-1661	
SERINE-O-ACETTRAN-RXN	EC-2.3.1.30
RXN-11135	EC-3.6.4.12
PYRAMKIN-RXN	EC-2.7.1.35
NICOTINATEPRIBOSYLTRANS-RXN	EC-2.4.2.11
RXN0-6521	EC-3.1.26.12
RXN-12480	EC-2.1.1.223
RXN-10698	EC-1.1.1.35
L-RHAMNOSE-1-DEHYDROGENASE-RXN	EC-1.1.1.173
3.4.21.53-RXN	EC-3.4.21.53
RXN-8991	
ACETYLESTERASE-RXN	EC-3.1.1.6
RXN1G-717	EC-1.1.1.100
NACGLCTRANS-RXN	EC-2.4.1.227
TETRAACYLDISACC4KIN-RXN	EC-2.7.1.130
DTDPGLUCOSEPP-RXN	EC-2.7.7.24
